শুনেন	শুন+েন	hear+PRES.3P.FORM
ঘুমলেন	ঘুম+লেন	sleep+PAST.3P.FORM
দেখব	দেখ+ব	see+FUT.1P
আসি	আস+ি	come+PRES.1P
চলল	চল+ল	walk/move+PAST.3P
শহরর	শহর+র	city+GEN
খেললেন	খেল+লেন	play+PAST.3P.FORM
ছাত্রর	ছাত্র+র	student+GEN
ঘরটাকে	ঘর+টাকে	house+OBJ
যাব	যা+ব	go+FUT.1P
বলিস	বল+িস	say+PRES.2P.INTIM
পড়ব	পড়+ব	read/fall+FUT.1P
করিস	কর+িস	do+PRES.2P.INTIM
ঘরগুলি	ঘর+গুলি	house+PL.FORM
ছাত্ররা	ছাত্র+রা	student+PL
ঘরগুলো	ঘর+গুলো	house+PL
শিক্ষকতে	শিক্ষক+তে	teacher+LOC
খাছে	খা+ছে	eat+PROG.3P
রান্ধবেন	রান্ধ+বেন	cook+FUT.3P.FORM
হাসছি	হাস+ছি	laugh+PROG.1P
লিখবে	লিখ+বে	write+FUT.3P
পড়লাম	পড়+লাম	read/fall+PAST.1P
শুনছেন	শুন+ছেন	hear+PROG.3P.FORM
যােন	যা+েন	go+PRES.3P.FORM
পড়ল	পড়+ল	read/fall+PAST.3P
যাছি	যা+ছি	go+PROG.1P
গাছর	গাছ+র	tree+GEN
ছাত্রতে	ছাত্র+তে	student+LOC
খাল	খা+ল	eat+PAST.3P
নাচব	নাচ+ব	dance+FUT.1P
মেয়েতে	মেয়ে+তে	girl+LOC
চলি	চল+ি	walk/move+PRES.1P
আসেন	আস+েন	come+PRES.3P.FORM
দেশর	দেশ+র	country+GEN
খেলবেন	খেল+বেন	play+FUT.3P.FORM
বইগুলো	বই+গুলো	book+PL
হাসবে	হাস+বে	laugh+FUT.3P
নাচলেন	নাচ+লেন	dance+PAST.3P.FORM
ফুলগুলি	ফুল+গুলি	flower+PL.FORM
খােন	খা+েন	eat+PRES.3P.FORM
বাড়িটি	বাড়ি+টি	home+DEF.SG.FORM
গাছটা	গাছ+টা	tree+DEF.SG
যাি	যা+ি	go+PRES.1P
হাসে	হাস+ে	laugh+PRES.3P
রান্ধলাম	রান্ধ+লাম	cook+PAST.1P
দেখি	দেখ+ি	see+PRES.1P
শিক্ষককে	শিক্ষক+কে	teacher+OBJ
পাখিগণ	পাখি+গণ	bird+PL.FORM
দেখছি	দেখ+ছি	see+PROG.1P
বলেন	বল+েন	say+PRES.3P.FORM
হাসছে	হাস+ছে	laugh+PROG.3P
ভাষাগুলি	ভাষা+গুলি	language+PL.FORM
হাসল	হাস+ল	laugh+PAST.3P
বাড়িটাকে	বাড়ি+টাকে	home+OBJ
করল	কর+ল	do+PAST.3P
হাসব	হাস+ব	laugh+FUT.1P
শিক্ষকগণ	শিক্ষক+গণ	teacher+PL.FORM
শহরএ	শহর+এ	city+LOC
করলেন	কর+লেন	do+PAST.3P.FORM
নাচছি	নাচ+ছি	dance+PROG.1P
দেখবে	দেখ+বে	see+FUT.3P
ঘরএ	ঘর+এ	house+LOC
ঘুমেন	ঘুম+েন	sleep+PRES.3P.FORM
ভাষাটা	ভাষা+টা	language+DEF.SG
নাচি	নাচ+ি	dance+PRES.1P
মেয়েরা	মেয়ে+রা	girl+PL
যালাম	যা+লাম	go+PAST.1P
রান্ধি	রান্ধ+ি	cook+PRES.1P
ঘুমিস	ঘুম+িস	sleep+PRES.2P.INTIM
খেললাম	খেল+লাম	play+PAST.1P
শহরটা	শহর+টা	city+DEF.SG
নদীগুলি	নদী+গুলি	river+PL.FORM
রান্ধবে	রান্ধ+বে	cook+FUT.3P
দেখল	দেখ+ল	see+PAST.3P
বলছে	বল+ছে	say+PROG.3P
আসল	আস+ল	come+PAST.3P
ঘুমবে	ঘুম+বে	sleep+FUT.3P
বইর	বই+র	book+GEN
গাছগুলি	গাছ+গুলি	tree+PL.FORM
ঘুমছেন	ঘুম+ছেন	sleep+PROG.3P.FORM
শুনলাম	শুন+লাম	hear+PAST.1P
ঘুমছে	ঘুম+ছে	sleep+PROG.3P
যাবে	যা+বে	go+FUT.3P
পাখিতে	পাখি+তে	bird+LOC
নাচল	নাচ+ল	dance+PAST.3P
চলিস	চল+িস	walk/move+PRES.2P.INTIM
ছেলের	ছেলে+র	boy+GEN
রান্ধলেন	রান্ধ+লেন	cook+PAST.3P.FORM
আসলেন	আস+লেন	come+PAST.3P.FORM
খেলিস	খেল+িস	play+PRES.2P.INTIM
ফুলএ	ফুল+এ	flower+LOC
লিখিস	লিখ+িস	write+PRES.2P.INTIM
করব	কর+ব	do+FUT.1P
বইটা	বই+টা	book+DEF.SG
গাছগুলো	গাছ+গুলো	tree+PL
শুনলেন	শুন+লেন	hear+PAST.3P.FORM
ঘুমে	ঘুম+ে	sleep+PRES.3P
করি	কর+ি	do+PRES.1P
শুনিস	শুন+িস	hear+PRES.2P.INTIM
শহরগুলি	শহর+গুলি	city+PL.FORM
নদীটি	নদী+টি	river+DEF.SG.FORM
নাচলাম	নাচ+লাম	dance+PAST.1P
নাচবে	নাচ+বে	dance+FUT.3P
শুনবে	শুন+বে	hear+FUT.3P
খাছি	খা+ছি	eat+PROG.1P
যাছে	যা+ছে	go+PROG.3P
বলল	বল+ল	say+PAST.3P
রান্ধব	রান্ধ+ব	cook+FUT.1P
দেখলাম	দেখ+লাম	see+PAST.1P
বইটাকে	বই+টাকে	book+OBJ
ছাত্রটা	ছাত্র+টা	student+DEF.SG
চললে	চল+লে	walk/move+PAST.2P
শিক্ষকরা	শিক্ষক+রা	teacher+PL
ফুলর	ফুল+র	flower+GEN
আসছেন	আস+ছেন	come+PROG.3P.FORM
হাসেন	হাস+েন	laugh+PRES.3P.FORM
দেশএ	দেশ+এ	country+LOC
ঘরর	ঘর+র	house+GEN
ঘুমলে	ঘুম+লে	sleep+PAST.2P
খেলেন	খেল+েন	play+PRES.3P.FORM
মানুষরা	মানুষ+রা	person+PL
বললাম	বল+লাম	say+PAST.1P
শুনছে	শুন+ছে	hear+PROG.3P
ফুলগুলো	ফুল+গুলো	flower+PL
বলছেন	বল+ছেন	say+PROG.3P.FORM
বইএ	বই+এ	book+LOC
বইগুলি	বই+গুলি	book+PL.FORM
লিখবেন	লিখ+বেন	write+FUT.3P.FORM
ঘরটা	ঘর+টা	house+DEF.SG
পাখিটা	পাখি+টা	bird+DEF.SG
রান্ধল	রান্ধ+ল	cook+PAST.3P
লিখছি	লিখ+ছি	write+PROG.1P
নাচছেন	নাচ+ছেন	dance+PROG.3P.FORM
ফুলটা	ফুল+টা	flower+DEF.SG
ঘুমছি	ঘুম+ছি	sleep+PROG.1P
মেয়েকে	মেয়ে+কে	girl+OBJ
ভাষাএ	ভাষা+এ	language+LOC
নদীর	নদী+র	river+GEN
চললাম	চল+লাম	walk/move+PAST.1P
ঘুমি	ঘুম+ি	sleep+PRES.1P
খেলছে	খেল+ছে	play+PROG.3P
পড়িস	পড়+িস	read/fall+PRES.2P.INTIM
বইটি	বই+টি	book+DEF.SG.FORM
ঘরটি	ঘর+টি	house+DEF.SG.FORM
খেললে	খেল+লে	play+PAST.2P
দেখিস	দেখ+িস	see+PRES.2P.INTIM
শহরগুলো	শহর+গুলো	city+PL
হাসিস	হাস+িস	laugh+PRES.2P.INTIM
করলাম	কর+লাম	do+PAST.1P
লিখলে	লিখ+লে	write+PAST.2P
মেয়ের	মেয়ে+র	girl+GEN
খািস	খা+িস	eat+PRES.2P.INTIM
হাসলেন	হাস+লেন	laugh+PAST.3P.FORM
শুনব	শুন+ব	hear+FUT.1P
দেশগুলি	দেশ+গুলি	country+PL.FORM
যালে	যা+লে	go+PAST.2P
লিখলেন	লিখ+লেন	write+PAST.3P.FORM
শহরটাকে	শহর+টাকে	city+OBJ
চলেন	চল+েন	walk/move+PRES.3P.FORM
পড়ছে	পড়+ছে	read/fall+PROG.3P
চলছেন	চল+ছেন	walk/move+PROG.3P.FORM
বলব	বল+ব	say+FUT.1P
হাসলে	হাস+লে	laugh+PAST.2P
খেলছেন	খেল+ছেন	play+PROG.3P.FORM
